order_id,dark_store_id,customer_zone,order_timestamp,delivery_timestamp,product_category,quantity_ordered,out_of_stock_flag
1966340,Hyderabad_DS_0,Zone_B,2025-09-28 00:00:00,2025-09-28 00:12:00,Personal Care,19,0
1966341,Gurgaon_DS_1,Zone_C,2025-09-28 00:01:00,2025-09-28 00:12:00,Personal Care,16,0
1966342,Chennai_DS_2,Zone_C,2025-09-28 00:02:00,2025-09-28 00:26:00,Dairy,4,0
1966343,Delhi_DS_3,Zone_C,2025-09-28 00:03:00,2025-09-28 00:08:00,Household,5,0
1966345,Amritsar_DS_4,Zone_D,2025-09-28 00:04:00,2025-09-28 00:21:00,Fruits & Vegetables,16,0
1966346,Pune_DS_5,Zone_A,2025-09-28 00:05:00,2025-09-28 00:21:00,Fruits & Vegetables,12,0
1966347,Jaipur_DS_6,Zone_C,2025-09-28 00:06:00,2025-09-28 00:27:00,Beverages,9,0
1966348,Jaipur_DS_7,Zone_A,2025-09-28 00:07:00,2025-09-28 00:21:00,Household,19,0
1966349,Kolkata_DS_8,Zone_B,2025-09-28 00:08:00,2025-09-28 00:32:00,Snacks,14,0
1966350,Gurgaon_DS_9,Zone_D,2025-09-28 00:09:00,2025-09-28 00:25:00,Personal Care,2,0
1966351,Gurgaon_DS_0,Zone_C,2025-09-28 00:10:00,2025-09-28 00:20:00,Fruits & Vegetables,13,0
1966352,Hyderabad_DS_1,Zone_A,2025-09-28 00:11:00,2025-09-28 00:31:00,Dairy,3,1
1966353,Jaipur_DS_2,Zone_C,2025-09-28 00:12:00,2025-09-28 00:30:00,Fruits & Vegetables,13,0
1966354,Chennai_DS_3,Zone_D,2025-09-28 00:13:00,2025-09-28 00:29:00,Personal Care,14,0
1966355,Chennai_DS_4,Zone_D,2025-09-28 00:14:00,2025-09-28 00:32:00,Beverages,12,0
1966356,Noida_DS_5,Zone_C,2025-09-28 00:15:00,2025-09-28 00:40:00,Personal Care,2,0
1966357,Gurgaon_DS_6,Zone_C,2025-09-28 00:16:00,2025-09-28 00:28:00,Beverages,16,0
1966358,Delhi_DS_7,Zone_B,2025-09-28 00:17:00,2025-09-28 00:26:00,Snacks,3,0
1966359,Gurgaon_DS_8,Zone_D,2025-09-28 00:18:00,2025-09-28 00:32:00,Groceries,7,1
1966360,Bengluru_DS_9,Zone_D,2025-09-28 00:19:00,2025-09-28 00:39:00,Fruits & Vegetables,1,0
1966361,Jaipur_DS_0,Zone_B,2025-09-28 00:20:00,2025-09-28 00:39:00,Dairy,2,0
1966362,Noida_DS_1,Zone_B,2025-09-28 00:21:00,2025-09-28 00:38:00,Personal Care,12,0
1966363,Haridwar_DS_2,Zone_C,2025-09-28 00:22:00,2025-09-28 00:40:00,Fruits & Vegetables,9,0
1966364,Delhi_DS_3,Zone_C,2025-09-28 00:23:00,2025-09-28 00:28:00,Personal Care,7,1
1966365,Bengluru_DS_4,Zone_C,2025-09-28 00:24:00,2025-09-28 00:40:00,Dairy,19,0
1966366,Jaipur_DS_5,Zone_B,2025-09-28 00:25:00,2025-09-28 00:37:00,Personal Care,3,0
1966367,Haridwar_DS_6,Zone_B,2025-09-28 00:26:00,2025-09-28 00:56:00,Beverages,1,0
1966368,Chennai_DS_7,Zone_C,2025-09-28 00:27:00,2025-09-28 00:48:00,Snacks,16,0
1966370,Hyderabad_DS_8,Zone_C,2025-09-28 00:28:00,2025-09-28 00:49:00,Groceries,6,0
1966371,Mumbai_DS_9,Zone_A,2025-09-28 00:29:00,2025-09-28 00:43:00,Beverages,19,0
1966372,Chennai_DS_0,Zone_D,2025-09-28 00:30:00,2025-09-28 00:45:00,Groceries,18,0
1966374,Noida_DS_1,Zone_D,2025-09-28 00:31:00,2025-09-28 00:51:00,Beverages,7,0
1966375,Chennai_DS_2,Zone_C,2025-09-28 00:32:00,2025-09-28 00:50:00,Fruits & Vegetables,18,0
1966376,Gurgaon_DS_3,Zone_C,2025-09-28 00:33:00,2025-09-28 00:50:00,Beverages,10,0
